A,B,B_val,C,D,E
1325.3,3624.9,3624.9,18.973,530.18,629.57
1300.8,3826.1,3826.1,21.718,519.1,1027.9
1475.2,6037.5,6037.5,21.254,509.69,4066.7
1768.9,,12434,20.231,534.4,9635.6
1718.5,13851,13851,19.855,546.81,9873.3
1479.6,,9624.2,19.265,517.99,6122.9
1320.4,,7039.5,18.417,494.07,3820.3
1195.6,4786.1,4786.1,16.777,472.32,1934.3
1133.4,3708.6,3708.6,19.436,456.41,1102.5
1095.7,,3314.9,13.779,445.22,849.63
1067.6,3221.1,3221.1,13.892,436.47,826.97
1042.7,3156,3156,13.553,428.3,816.36
1019.2,3084.8,3084.8,14.552,420.3,795.28
989.29,2939.9,2939.9,14.118,412.51,666.61
958.53,,2630.4,14.785,403.4,454.67
939.03,,2551.4,13.592,395.61,433.27
921.21,2498.7,2498.7,14.747,388.4,424.93
917.99,2458.2,2458.2,14.44,381.36,416.97
929.83,2437.6,2437.6,14.082,374.47,409.26
925.07,2406.7,2406.7,13.82,367.75,401.76
894.46,,2346.5,14.257,361.17,394.39
860.47,2281.8,2281.8,13.863,354.7,387.12
832.96,2224.5,2224.5,12.767,348.36,380.01
810.64,2173,2173,12.985,342.11,373.07
793.42,2127.5,2127.5,12.215,335.95,366.28
778.56,2085.1,2085.1,12.049,329.86,359.58
764.52,2044.1,2044.1,12,323.89,353.01
750.81,2004,2004,11.528,318.03,346.58
736.85,,1964.5,11.36,312.25,340.23
722.75,1925.2,1925.2,10.951,306.55,333.98
709.47,1887.3,1887.3,10.688,300.92,327.87
697.06,1851,1851,10.237,295.38,321.88
684.96,1815.4,1815.4,10.104,289.93,316.04
673.06,1781,1781,9.9311,284.61,311.02
661.41,1748.4,1748.4,9.814,279.45,307.48
650.1,,1716.1,9.902,274.44,302.98
639.1,1682.6,1682.6,8.3328,269.56,296.65
628.42,1649.7,1649.7,8.1511,264.87,290.45
618.09,1618.2,1618.2,8.0609,260.35,284.74
608.11,1588.2,1588.2,8.3834,255.99,279.54
598.47,1559.5,1559.5,7.4744,251.76,274.79
589.08,,1531.8,6.9787,247.65,270.34
579.91,,1504.9,9.2295,243.65,266.01
571.02,1478.7,1478.7,7.3768,239.72,261.77
562.36,1453,1453,7.4584,235.84,257.61
553.88,1428,1428,9.902,232.04,253.52
545.68,,1403.9,7.1863,228.33,249.61
538.93,1381.3,1381.3,7.0382,224.72,245.83
533.67,1361.4,1361.4,6.6312,221.21,242.15
526.06,1339.9,1339.9,9.2295,217.79,238.58
516.86,,1316.5,6.775,214.41,235.07
508.56,1294.5,1294.5,6.6036,211.09,231.59
500.56,1273,1273,6.3863,207.87,228.16
493.26,,1252.5,6.464,204.71,224.77
486.39,1232.9,1232.9,6.3932,201.61,221.48
479.76,1214,1214,6.2998,198.58,218.31
473.26,,1195.6,6.891,195.61,215.3
466.93,1177.8,1177.8,6.1981,192.73,212.39
460.71,,1160.5,6.1375,189.93,209.57
454.9,1144,1144,6.0612,187.22,206.89
451.73,1130.3,1130.3,5.9288,184.6,204.27
504.31,1160.5,1160.5,5.8663,182.06,201.68
625.05,1272.4,1272.4,5.7213,179.56,202.89
686,1388.1,1388.1,5.465,177.08,289.1
673.91,1593.2,1593.2,5.5715,174.61,504.84
730.8,1903.5,1903.5,5.465,172.17,768.5
763.06,2013.9,2013.9,5.2541,169.74,808.17
662.26,1765.3,1765.3,5.1576,167.35,610.99
570.12,1527,1527,5.3591,165.86,546.56
560.59,1632.6,1632.6,5.2966,165.49,669.07
624.3,1771.6,1771.6,4.651,173.57,737.77
692.72,,2089.1,5.245,195.99,1030.4
655.23,,2365.1,5.2698,200.5,1282.9
638.7,2422.6,2422.6,4.8216,189.95,1395.6
641.67,2673.9,2673.9,5.0936,188.46,1656
567.71,,2622.4,4.5102,178.38,1554.3
508.03,2105.1,2105.1,4.4444,164.25,1112.1
470.19,,1606.2,3.936,155.27,699.96
436.79,,1286.1,4.4411,148.94,447.28
407.22,1083.8,1083.8,4.4033,145.04,303.97
393.18,,992.58,4.349,142.54,249.13
407.26,,990.71,4.281,140.35,251.01
431.5,,1113,4.2272,138.94,392.81
418.81,,1322.1,4.1208,138.07,583.18
386.21,1273.6,1273.6,3.3099,135.55,519.86
366.49,1064.2,1064.2,3.3099,132.83,358.44
350.53,,944.35,3.1012,130.64,261.57
341.08,856.27,856.27,3.101,128.74,193.39
335.64,819.52,819.52,3.0706,127.06,165.1
332.07,,810.71,3.0642,125.52,170.03
330.03,1043.8,1043.8,3.0471,124.27,477.38
333.46,1281.6,1281.6,3.0279,123.07,677.72
339.53,,1205,2.9289,121.57,508.9
356.5,1081.6,1081.6,2.9623,120.07,377.8
383.6,1152.7,1152.7,2.8289,118.59,535.48
428.22,,2008,3.0279,117.05,1558.5
468.52,4006.6,4006.6,3.0279,116.15,3542.6
530.41,5395.9,5395.9,2.774,114.96,4748
538.36,,5577.3,2.7,113.16,4585.4
452.24,4517,4517,2.7333,111.6,3486.3
386.19,2971.2,2971.2,2.5722,110.72,2138.2
339.8,2049.5,2049.5,2.5794,109.69,1292.3
314.92,,1357.5,2.5034,109.52,737.43
309.91,,1521,2.765,115.9,1181.1
350.65,3573.1,3573.1,2.765,262.84,3065.5
405.67,,4908.1,2.765,347.87,3864.9
556.17,,4377.8,2.6263,260.91,3288.7
802.62,4416.6,4416.6,11.891,208.74,3064.3
1185.7,7711.3,7711.3,7.426,329.79,6847.4
1413.2,12761,12761,5.911,404.05,10810
1241.5,11533,11533,32.702,294.15,8559.2
1033.8,,7251.5,18.973,239.34,5191.6
786.1,4813.9,4813.9,12.985,184.55,3124
548.07,2893.4,2893.4,7.993,146.51,1782.7
423.45,2004.7,2004.7,16.311,131.87,1109.2
358.47,1497.2,1497.2,16.625,114.94,771.02
354.86,1300.7,1300.7,32.989,108.75,627.06
377.54,,1199,36.592,105.59,529.41
365.68,1143.6,1143.6,32.169,104.19,525.85
325.88,995.19,995.19,24.04,95.959,377.34
302.01,772.76,772.76,18.973,94.033,229.65
281.97,,703.61,17.306,93.681,187.39
268.42,666.43,666.43,13.863,92.613,166.99
263.33,651.63,651.63,12.152,92.134,149.08
261.5,653.06,653.06,11.362,91.503,133.83
262.14,652.04,652.04,9.902,92.008,122.73
262.07,641.2,641.2,9.2295,91.991,119.71
258.66,,626.76,8.5941,90.882,118.47
254.37,,618.1,7.7114,90.133,116.55
251.45,613.46,613.46,7.792,89.361,118.69
248.99,,607.06,7.6251,88.662,124.75
246.98,593.39,593.39,7.4139,88.017,121.65
245.29,577.13,577.13,7.1606,87.387,114.39
243.72,566.07,566.07,5.0451,86.752,109.85
243.53,,564.24,4.5568,86.276,113.17
248.38,,597.74,3.9318,88.693,130.23
272.89,,688.6,3.7765,89.853,154.24
304.09,834.07,834.07,3.7487,88.596,270.99
334.15,1226.6,1226.6,3.7161,111.2,583.36
366.03,,1397.9,3.6387,123.65,660.59
360.17,1199,1199,3.0279,108.6,500.19
323.55,1139.1,1139.1,2.7231,98.861,545.87
311.39,,1240.2,2.7019,91.791,743.94
306.37,,1570.8,2.6239,88.649,1037
285.82,1801.8,1801.8,2.598,108.93,1287.1
280.68,2001,2001,1.9305,124.21,1428
289.59,,2219.8,1.4305,110.97,1570.3
318.51,,2281.9,1.5403,99.11,1498.4
339.54,2010.1,2010.1,1.0449,89.024,1073
354.5,1601.2,1601.2,1.2075,81.85,646.34
365.38,1418.8,1418.8,1.1909,79.102,391.23
353.39,1239.1,1239.1,1.148,78.334,248.31
345.08,1144.3,1144.3,1.1559,78.427,190.06
336.91,1094.3,1094.3,1.1218,78.141,173.99
358.26,1113.7,1113.7,1.0409,77.396,188.41
462.67,1518.3,1518.3,1.0994,78.781,532.06
938.79,,3256.7,0.77803,139.29,1755.4
1431.4,,7369.2,29.206,179.2,5645.1
1749.1,12163,12163,139.58,167.7,9473.1
1838.8,13587,13587,88.911,196.33,11100
1788.7,19151,19151,54.703,223.39,17903
2204.9,,29549,42.458,213.67,27024
2501.5,,33455,59.281,222.16,29318
2554.1,40548,40548,88.911,412.26,39499
2578.4,,59976,95.829,493.15,57784
4792.1,,74518,12635,492.42,64794
16018,100060,100060,17784,718.74,70734
43896,162950,162950,8588.3,711.54,73991
67356,216770,216770,4008.2,499.5,63367
70956,,221160,2325.2,371.68,44947
66187,198420,198420,1307.5,285.85,29140
58133,179590,179590,970.84,327.79,30446
51402,,170460,889.03,406.84,39509
